S,Time (seconds)
5,1.049041748046875e-05
10,1.9550323486328125e-05
15,9.655952453613281e-05
20,0.0004353523254394531
25,0.002157449722290039
30,0.011973381042480469
35,0.05343127250671387
40,0.2645716667175293
45,1.1974244117736816
50,5.7580578327178955
55,29.623727560043335
60,141.5889871120453
65,700.3615808486938
